Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-561.3728	-585.6066	24.23377	0.3910577	7.612632	0.1253716	4.46023
6	-556.8173	-581.8523	25.03504	0.4022413	5.363663	0.09709109	4.355799
12	-573.0004	-593.8857	20.88532	0.1996	12.35743	0.05923582	6.156679
18	-564.3249	-589.2839	24.95899	0.4420891	7.689813	0.09756937	4.075781
24	-562.7173	-587.2932	24.57595	0.4085781	12.15997	0.06770705	3.981282
30	-564.89	-588.9897	24.0997	0.5922797	14.52397	0.06770705	3.981282
36	-565.8908	-589.707	23.81619	0.4254132	13.09728	0.06498651	4.342052
42	-563.6425	-587.9361	24.29364	0.2053264	10.02134	0.1095961	4.327307
48	-568.024	-590.9696	22.94559	0.3504967	6.16944	0.1159477	5.393694
54	-567.3985	-592.9387	25.54025	0.5793568	5.009534	0.158896	3.888188
60	-568.177	-591.8845	23.7075	0.5793568	6.855067	0.08342292	4.835502
66	-563.9679	-587.1295	23.16161	0.5672687	10.49831	0.06310117	4.835502
72	-559.2816	-583.2038	23.92221	0.6594639	10.49831	0.07154476	4.333947
78	-559.0271	-582.8588	23.83169	0.6222626	8.322183	0.09809435	4.542356
84	-568.8073	-592.6977	23.89038	1.065923	37.37733	0.04819546	2.893189
90	-565.7464	-592.4352	26.68879	0.5826574	3.22174	0.2814951	3.362152
96	-564.6473	-591.6578	27.01045	0.7648822	2.961164	0.2814951	3.128205
102	-565.5913	-593.6587	28.0674	0.8860888	2.51378	0.3020685	2.506357
108	-566.4904	-592.7341	26.24368	0.8214607	1.599757	0.2675884	3.989814
114	-566.3496	-592.0604	25.71082	0.4564671	3.68211	0.2572824	3.935779
120	-559.8028	-585.4975	25.69469	0.6270879	3.001052	0.2058131	4.080125
126	-563.7992	-590.8042	27.00506	0.8369484	2.125991	0.2168967	3.429394
132	-563.9662	-591.5112	27.54494	0.8369484	1.286064	0.2190409	3.441026
138	-563.4861	-589.0119	25.52574	0.5694939	1.885075	0.3417797	4.337371
144	-564.776	-588.454	23.67806	0.2932469	2.679089	0.1846998	5.509016
150	-566.6073	-590.8667	24.25937	0.2759653	1.619915	0.3653463	5.277078
