Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-570.4978	-597.0764	26.57856	0.250278	0.0526042	0.210952	0.0299205	0.151784	0.346261	0.136945	0.219666	0.129067	0.0712224	0.246311	0.00255211	0.11152	0.0611485	0.139657	0.0111647	0.189919	0.099354	0.00735511	0.236324	0.0110287	0.0933067	0.0369704	0.109666	0.311106	0.104228	0.571468	0.0388963	0.192362	0.373179	1.4609	0.7714132	1.228587	0.581806	0.76786	0.920895	1.0859	1.30232	1.71879	0.3916271	1.592644	0.1878275	0.0599751	0.0126057	0.0505511	0.00716996	0.0363725	0.0829759	0.0328166	0.0526393	0.0309288	0.0170673	0.0590244	0.000611571	0.0267239	0.0146532	0.0334666	0.00267544	0.045511	0.0238086	0.00176253	0.0566311	0.00264284	0.0223594	0.00885934	0.0262796	0.0745514	0.0249766	0.136943	0.00932085	0.0460964	0.614293	0.385707	4.173038
36	-567.5246	-592.121	24.59642	0.643	0.212496	0.00577096	0.00570727	0.372317	0.218994	0.164832	0.235481	0.562155	0.0702184	0.135981	0.0202248	0.0856011	0.0792359	0.0756262	0.00535108	0.0204901	0.00711488	0.00305874	0.0338887	0.155226	0.110728	0.178646	0.421193	0.0204438	0.252084	0.0665952	0.20141	0.537395	0.451741	1.40313	0.6569359	1.343064	0.406864	0.644952	0.872119	1.14663	1.5505	2.45783	0.6502394	2.044437	0.2367294	0.131191	0.0433553	0.00117744	0.00116445	0.0759634	0.0446812	0.0336305	0.0480449	0.114696	0.0143266	0.027744	0.00412645	0.0174651	0.0161664	0.0154299	0.00109177	0.00418057	0.00145164	0.00062407	0.00691428	0.0316706	0.0225917	0.036449	0.0859355	0.00417112	0.0514325	0.0135874	0.0410936	0.109644	0.671532	0.328468	4.901265
72	-568.5758	-594.7927	26.21692	0.664831	0.260239	0.040237	0.0122746	0.384957	0.287027	0.140805	0.293312	0.336523	0.16987	0.122231	0.0149189	0.0347205	0.0131531	0.0322987	0.0122282	0.0436851	0.0488577	0.0019048	0.0850119	0.125921	0.0435099	0.113302	0.435493	0.0737969	0.0312183	0.0404839	0.0740709	0.199298	0.455548	1.40033	0.6441763	1.355824	0.617005	0.790175	0.929162	1.07624	1.26554	1.62073	0.3491543	2.10474	0.2392018	0.160736	0.0629177	0.00972805	0.00296761	0.0930708	0.0693942	0.0340422	0.0709138	0.0813608	0.0410693	0.0295517	0.00360692	0.00839434	0.00318001	0.00780882	0.00295641	0.0105617	0.0118123	0.000460522	0.0205532	0.0304439	0.0105193	0.0273928	0.105289	0.0178418	0.00754763	0.00978776	0.017908	0.048184	0.677912	0.322088	4.13618
108	-568.5942	-593.4637	24.86953	0.497381	0.0977444	0.0979362	0.0312578	0.334568	0.503103	0.325431	0.131203	0.178353	0.115872	0.10934	0.00698109	0.00936035	0.0189225	0.0630284	0.0191132	0.0711046	0.0262477	0.00640666	0.0982802	0.0401024	0.056549	0.154407	0.371503	0.0610909	0.0872393	0.0324752	0.0673256	0.162227	0.204357	1.58503	0.1563352	1.843665	0.574615	0.763216	0.919154	1.08796	1.31024	1.74029	0.4006194	11.79302	0.09480099	0.131772	0.0258956	0.0259464	0.0082812	0.0886378	0.133288	0.086217	0.0347598	0.0472515	0.0306982	0.0289676	0.00184951	0.00247986	0.00501318	0.0166983	0.0050637	0.0188379	0.00695386	0.00169733	0.0260376	0.0106244	0.0149816	0.0409073	0.098423	0.0161849	0.0231125	0.00860372	0.0178367	0.0429791	0.921832	0.0781676	3.774552
144	-563.3224	-588.3025	24.98008	0.908606	0.0690849	0.122642	0.0505258	0.175391	0.108222	0.261484	0.154559	0.418518	0.122087	0.119765	0.0284971	0.0200699	0.0278557	0.0362704	0.0262525	0.0524055	0.133716	0.000758892	0.067427	0.0431588	0.0596886	0.139001	0.418183	0.00596694	0.0175996	0.081464	0.0731112	0.0296108	0.272795	1.53471	0.2157175	1.784282	0.375862	0.620498	0.861666	1.16054	1.61161	2.66055	0.7075477	8.271385	0.1306986	0.240887	0.0183156	0.0325145	0.0133952	0.0464991	0.0286916	0.0693239	0.0409763	0.110956	0.0323673	0.0317517	0.00755507	0.00532086	0.00738501	0.0096159	0.00695998	0.0138936	0.0354503	0.000201195	0.017876	0.0114421	0.0158244	0.0368515	0.110867	0.00158194	0.00466595	0.0215975	0.019383	0.00785032	0.892141	0.107859	3.771922
180	-566.2938	-592.1742	25.88042	1.0575	0.0679135	0.172294	0.0116744	0.104412	0.0950689	0.334824	0.147447	0.300022	0.106773	0.0732569	0.0397093	0.000884764	0.0279501	0.0754351	0.0238424	0.0764714	0.0481566	0.0034493	0.0669651	0.0424269	0.11511	0.157879	0.428892	0.00261555	0.0378783	0.0139669	0.139798	0.0997792	0.487711	1.37668	0.4079469	1.592053	0.649844	0.810413	0.936522	1.06778	1.23394	1.53883	0.311659	3.902599	0.260489	0.273087	0.0175378	0.0444929	0.00301476	0.026963	0.0245504	0.0864643	0.0380764	0.077477	0.0275728	0.0189177	0.0102544	0.00022848	0.00721778	0.0194802	0.00615701	0.0197478	0.0124359	0.000890739	0.0172929	0.0109562	0.0297257	0.0407703	0.110756	0.000675434	0.00978161	0.00360677	0.0361013	0.0257668	0.796027	0.203973	3.872398
216	-563.9705	-591.1546	27.18403	0.702349	0.0601497	0.0836451	0.000198176	0.198313	0.161964	0.10201	0.159691	0.332416	0.102668	0.0500927	0.00348994	0.0746257	0.0164759	0.0270025	0.0210821	0.161589	0.00283198	0.00295739	0.0419737	0.0143395	0.117663	0.416524	0.115347	0.0551118	0.00979594	0.0520236	0.0361868	0.0965669	0.356286	1.47332	0.6756126	1.324387	0.182792	0.436571	0.772154	1.29508	2.29058	5.4707	1.228788	1.960276	0.1778128	0.218183	0.0186853	0.0259841	6.15629e-05	0.0616055	0.0503138	0.0316892	0.0496076	0.103264	0.0318935	0.0155612	0.00108414	0.0231823	0.0051182	0.00838825	0.0065491	0.0501973	0.000879747	0.000918704	0.013039	0.00445453	0.0365517	0.129392	0.0358322	0.0171203	0.00304308	0.016161	0.0112413	0.0299982	0.662194	0.337806	3.219085
252	-571.9903	-598.5546	26.56426	0.518232	0.028717	0.0721626	2.38082e-05	0.0714277	0.18837	0.0593345	0.0479035	0.494549	0.0985946	0.0354095	0.00207378	0.00878591	0.0308102	0.00788321	0.0174639	0.0511945	0.00399113	0.0138022	0.0586089	0.0795453	0.010756	0.205849	0.077803	0.0207906	0.0281285	0.0468154	0.00462308	0.0504094	0.317832	1.50159	0.167943	1.832057	0.251873	0.510452	0.810751	1.23342	1.95905	3.97025	0.9969879	10.9088	0.1556344	0.22203	0.0123035	0.0309172	1.02004e-05	0.0306024	0.0807051	0.0254212	0.0205237	0.211884	0.0422417	0.0151708	0.000888486	0.00376422	0.0132003	0.00337747	0.0074822	0.0219337	0.00170995	0.00591341	0.0251103	0.0340802	0.00460828	0.0881936	0.0333338	0.00890749	0.0120513	0.0200575	0.00198071	0.0215973	0.916029	0.0839715	2.334058
288	-559.8942	-585.7149	25.82065	0.958952	0.17836	0.116113	0.0278313	0.207242	0.153072	0.220432	0.283148	0.192096	0.257634	0.11505	0.00967224	0.0037494	0.0733836	0.0249693	0.0112538	0.0488462	0.0716432	0.0195694	0.0956971	0.0465992	0.101793	0.195872	0.479055	0.0512103	0.00851754	0.0722698	0.207664	0.0262629	0.519415	1.35337	0.6836506	1.316349	0.483227	0.70139	0.895246	1.11701	1.42574	2.06942	0.5258659	1.925471	0.2822008	0.225214	0.0418886	0.0272696	0.00653631	0.0486716	0.0359495	0.0517694	0.0664986	0.0451146	0.0605065	0.0270199	0.00227157	0.000880563	0.0172345	0.00586415	0.002643	0.0114717	0.0168257	0.00459595	0.0224749	0.010944	0.0239065	0.0460015	0.112508	0.012027	0.00200038	0.0169729	0.0487707	0.00616796	0.658175	0.341825	4.257957
324	-576.6588	-600.1142	23.45532	0.669353	0.0260058	0.0702433	0.180153	0.113071	0.151997	0.170449	0.318553	0.22196	0.11671	0.157248	0.0514279	0.0122788	0.109824	0.170577	0.0103288	0.0182995	0.031106	0.039928	0.0832794	0.11833	0.0852741	0.212459	0.585427	0.277401	0.0124634	0.122494	0.0664934	0.0305114	0.204461	1.58495	0.1202082	1.879792	0.470616	0.692403	0.891651	1.12152	1.44425	2.12487	0.5449861	15.6378	0.09485399	0.158103	0.00614264	0.0165917	0.0425526	0.0267077	0.0359022	0.0402606	0.0752432	0.0524276	0.0275673	0.0371425	0.0121474	0.0029003	0.0259408	0.0402907	0.0024397	0.0043224	0.00734732	0.00943112	0.0196709	0.0279499	0.020142	0.0501835	0.13828	0.065523	0.0029439	0.0289334	0.015706	0.0072069	0.939896	0.0601041	4.233645
